PC,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.2972673841048819,0.2972673841048819
PC2,0.12825029068350138,0.4255176747883833
PC3,0.12131085185942432,0.5468285266478077
PC4,0.10365538097390772,0.6504839076217154
PC5,0.06989525476861266,0.7203791623903281
