k,silhouette_score,inertia,n_iter
2,0.23708447626864063,3851.836899114096,4
3,0.21646272943460518,3257.80854176226,7
4,0.23229674309623916,2868.636199257267,11
5,0.26071995633325545,2550.4055750499097,8
6,0.2316736550275169,2356.6628097904986,8
